Date,Last Price
3/9/2020,43750
3/6/2020,44315
3/5/2020,43294
3/4/2020,43146
3/3/2020,42315
3/2/2020,42232
2/28/2020,42352
2/27/2020,42451
2/26/2020,42530
2/25/2020,42717
2/24/2020,43392
2/20/2020,41590
2/19/2020,41491
2/18/2020,40976
2/17/2020,40728
2/14/2020,40676
2/13/2020,40619
2/12/2020,40467
2/11/2020,40468
2/10/2020,40589
2/7/2020,40556
2/6/2020,40406
2/5/2020,40059
2/4/2020,40471
2/3/2020,40703
2/1/2020,40694
1/31/2020,40694
1/30/2020,40717
1/29/2020,40312
1/28/2020,40456
1/27/2020,40638
1/24/2020,40002
1/23/2020,39872
1/22/2020,39912
1/21/2020,39851
1/20/2020,39947
1/17/2020,39804
1/16/2020,39727
1/15/2020,39602
1/14/2020,39602
1/13/2020,39602
1/10/2020,39607
1/9/2020,39706
1/8/2020,40694
1/7/2020,40372
1/6/2020,40678
1/3/2020,39948
1/2/2020,39068
1/1/2020,38995
12/31/2019,39076
12/30/2019,38806
12/27/2019,38791
12/26/2019,38641
12/24/2019,38297
12/23/2019,38128
12/20/2019,37957
12/19/2019,37882
12/18/2019,37955
12/17/2019,37936
12/16/2019,37891
12/13/2019,37691
12/12/2019,37763
12/11/2019,37631
12/10/2019,37590
12/9/2019,37650
12/6/2019,38032
12/5/2019,38042
12/4/2019,38162
12/3/2019,38062
12/2/2019,37795
11/29/2019,37876
11/28/2019,37771
11/27/2019,37751
11/26/2019,37799
11/25/2019,37862
11/22/2019,38157
11/21/2019,38096
11/20/2019,38305
11/19/2019,38069
11/18/2019,37931
11/15/2019,38096
11/14/2019,38217
11/13/2019,38205
11/11/2019,37993
11/8/2019,37919
11/7/2019,38180
11/6/2019,38304
11/5/2019,38565
11/4/2019,38692
11/1/2019,38703
10/31/2019,38650
10/30/2019,38630
10/29/2019,38630
10/25/2019,38630
10/24/2019,38281
10/23/2019,38295
10/22/2019,38173
10/18/2019,38241
10/17/2019,38227
10/16/2019,38203
10/15/2019,38534
10/14/2019,38386
10/11/2019,38154
10/10/2019,38361
10/9/2019,38179
10/7/2019,38043
10/4/2019,38151
10/3/2019,37919
10/1/2019,37201
9/30/2019,37475
9/27/2019,37481
9/26/2019,37622
9/25/2019,38006
9/24/2019,37771
9/23/2019,37743
9/20/2019,37390
9/19/2019,37456
9/18/2019,37542
9/17/2019,37855
9/16/2019,37780
9/13/2019,37592
9/12/2019,37669
9/11/2019,37902
9/9/2019,38254
9/6/2019,38185
9/5/2019,39006
9/4/2019,39011
9/3/2019,39007
8/30/2019,38405
8/29/2019,38743
8/28/2019,38795
8/27/2019,38404
8/26/2019,38578
8/23/2019,37599
8/22/2019,37668
8/21/2019,37550
8/20/2019,37688
8/19/2019,37469
8/16/2019,37466
8/14/2019,37574
8/13/2019,37799
8/9/2019,37270
8/8/2019,37047
8/7/2019,37039
8/6/2019,36463
8/5/2019,36289
8/2/2019,35341
8/1/2019,34572
7/31/2019,34805
7/30/2019,34801
7/29/2019,34730
7/26/2019,34781
7/25/2019,34943
7/24/2019,34897
7/23/2019,34852
7/22/2019,34932
7/19/2019,35091
7/18/2019,34709
7/17/2019,34428
7/16/2019,34583
7/15/2019,34558
7/12/2019,34407
7/11/2019,34575
7/10/2019,34189
7/9/2019,34075
7/8/2019,34437
7/5/2019,34655
7/4/2019,34134
7/3/2019,34134
7/2/2019,33577
7/1/2019,33549
6/28/2019,34006
6/27/2019,33849
6/26/2019,33885
6/25/2019,34329
6/24/2019,34041
6/21/2019,33909
6/20/2019,33520
6/19/2019,32850
6/18/2019,32918
6/17/2019,32733
6/14/2019,33061
6/13/2019,32632
6/12/2019,32590
6/11/2019,32331
6/10/2019,32527
6/7/2019,32607
6/6/2019,32611
6/4/2019,32407
6/3/2019,32206
5/31/2019,32056
5/30/2019,31674
5/29/2019,31802
5/28/2019,31710
5/27/2019,31708
5/24/2019,31591
5/23/2019,31699
5/22/2019,31504
5/21/2019,31540
5/20/2019,31550
5/17/2019,31911
5/16/2019,32051
5/15/2019,32243
5/14/2019,32245
5/13/2019,31961
5/10/2019,31751
5/9/2019,31730
5/8/2019,31776
5/7/2019,31496
5/6/2019,31490
5/3/2019,31220
5/2/2019,31310
4/30/2019,31723
4/26/2019,31764
4/25/2019,31794
4/24/2019,31501
4/23/2019,31560
4/22/2019,31560
4/18/2019,31394
4/16/2019,31641
4/15/2019,31574
4/12/2019,31673
4/11/2019,31770
4/10/2019,31907
4/9/2019,31886
4/8/2019,31930
4/5/2019,31615
